session_infomation,is_botnet
TCP 192.168.0.16:56338 > 34.252.31.164:443,0
TCP 35.154.102.71:443 > 192.168.0.16:52046,0
TCP 192.168.0.19:5213 > 169.56.125.230:443,0
TCP 192.168.0.16:52046 > 35.154.102.71:443,0
TCP 35.154.102.71:443 > 192.168.0.16:52047,0
UDP 192.168.0.13:51990 > 210.89.164.90:8899,1
TCP 192.168.0.19:4946 > 172.217.25.238:443,0
ARP 192.168.0.16 > 192.168.0.1,0
TCP 104.74.152.109:443 > 192.168.0.16:56339,0
ICMP 192.168.0.13 > 192.168.0.1 type=8 code=0 id=0x4d01,0
TCP 192.168.0.19:4796 > 23.35.218.205:443,0
UDP 192.168.0.13:51997 > 210.89.164.90:8899,1
UDP 192.168.0.33:5353 > 192.168.0.16:5353,0
TCP 35.154.102.71:443 > 192.168.0.16:52045,0
IPv6 fe80::1c60:edf4:f8a0:e9b7 > ff02::16 nh=Hop-by-Hop Option Header,1
TCP 192.168.0.19:4275 > 216.58.197.234:443,0
UDP 192.168.0.16:62493 > 163.152.1.1:53,0
TCP 192.168.0.19:3799 > 47.88.65.0:443,0
TCP 192.168.0.13:51518 > 52.74.168.35:8820,0
UDP 192.168.0.13:51995 > 210.89.164.90:8899,1
UDP 192.168.0.13:64775 > 210.89.164.90:9988,1
IP 192.168.0.32 > 58.175.134.215 proto=tcp,0
TCP 192.168.0.16:52033 > 17.242.28.77:5223,0
UDP 163.152.1.1:53 > 192.168.0.16:57169,0
TCP 192.168.0.19:5164 > 220.181.136.210:443,0
UDP 192.168.0.13:64783 > 210.89.164.90:9988,1
TCP 192.168.0.16:52047 > 35.154.102.71:443,0
TCP 192.168.0.16:52033 > 17.242.20.79:5735,0
UDP 163.152.1.1:53 > 192.168.0.16:63064,0
UDP 172.217.31.131:443 > 192.168.0.33:56603,0
TCP 192.168.0.16:56337 > 54.230.182.63:443,0
TCP 192.168.0.19:4095 > 173.194.49.203:443,0
IP 192.168.0.16 > 224.0.0.2 proto=igmp,0
TCP 192.168.0.16:56340 > 54.230.182.63:443,0
TCP 52.74.168.35:8820 > 192.168.0.13:51518,0
TCP 54.230.182.63:443 > 192.168.0.16:56337,0
TCP 192.168.0.19:4252 > 172.217.31.170:443,0
ARP 192.168.0.1 > 192.168.0.24,0
TCP 192.168.0.19:5172 > 130.198.91.101:80,0
UDP 192.168.0.13:64776 > 210.89.164.90:9988,1
UDP 192.168.0.13:64777 > 210.89.164.90:9988,1
TCP 192.168.0.19:5186 > 169.56.125.226:5938,0
UDP 192.168.0.13:64780 > 210.89.164.90:9988,1
UDP 192.168.0.13:51994 > 210.89.164.90:8899,1
TCP 192.168.0.19:4422 > 211.115.106.75:80,1
UDP 192.168.0.13:51999 > 210.89.164.90:8899,1
UDP 192.168.0.13:51992 > 210.89.164.90:8899,1
UDP 192.168.0.16:57169 > 163.152.1.1:53,0
UDP 192.168.0.13:56361 > 13.228.233.32:6000,0
UDP fe80::1c60:edf4:f8a0:e9b7:5353 > ff02::fb:5353,1
TCP 192.168.0.19:3398 > 104.76.85.130:443,0
TCP 192.168.0.19:5182 > 37.252.244.133:80,0
TCP 192.168.0.16:56339 > 104.74.152.109:443,0
TCP 192.168.0.19:5170 > 211.115.106.72:80,0
UDP 192.168.0.19:57076 > 163.152.11.6:53,0
UDP 192.168.0.13:51998 > 210.89.164.90:8899,1
UDP 192.168.0.13:51991 > 210.89.164.90:8899,1
ICMP 192.168.0.1 > 192.168.0.13 type=0 code=0 id=0x4d01,0
UDP 163.152.1.1:53 > 192.168.0.16:50464,0
UDP 13.228.233.32:6000 > 192.168.0.13:56361,0
TCP 104.118.134.215:443 > 192.168.0.24:43238,0
UDP 192.168.0.16:5353 > 224.0.0.251:5353,0
TCP 192.168.0.19:5166 > 217.146.11.108:443,0
TCP 34.252.31.164:443 > 192.168.0.16:56338,0
TCP 192.168.0.16:54289 > 54.230.182.63:443,0
UDP 192.168.0.13:64778 > 210.89.164.90:9988,1
TCP 17.242.28.77:5223 > 192.168.0.16:52033,0
UDP 192.168.0.16:50464 > 163.152.1.1:53,0
UDP 192.168.0.13:51996 > 210.89.164.90:8899,1
UDP 192.168.0.13:64779 > 210.89.164.90:9988,1
UDP 192.168.0.14:64478 > 239.255.255.250:1900,0
UDP 192.168.0.33:1900 > 239.255.255.250:1900,0
UDP 192.168.0.16:63064 > 163.152.1.1:53,0
IP 192.168.0.16 > 224.0.0.251 proto=igmp,0
ARP 192.168.0.1 > 192.168.0.16,0
UDP 192.168.0.13:64774 > 210.89.164.90:9988,1
UDP 163.152.1.1:53 > 192.168.0.16:62493,0
TCP 192.168.0.24:43238 > 104.118.134.215:443,0
UDP 192.168.0.13:64782 > 210.89.164.90:9988,1
TCP 192.168.0.19:3456 > 52.85.230.19:80,0
ARP 192.168.0.24 > 192.168.0.1,0
TCP 54.230.182.63:443 > 192.168.0.16:56340,0
UDP 192.168.0.19:57076 > 163.152.1.1:53,0
TCP 192.168.0.16:52045 > 35.154.102.71:443,0
UDP 192.168.0.13:51993 > 210.89.164.90:8899,1
UDP 192.168.0.13:64781 > 210.89.164.90:9988,1
