session_infomation,is_botnet
TCP 104.118.134.215:187 > 192.168.0.212:43238,1
IP 192.168.0.13 > 224.0.0.251 proto=igmp,1
UDP 192.168.0.13:60214 > 210.89.164.90:8899,1
UDP 192.168.0.13:60230 > 210.89.164.90:8899,1
ARP 192.168.0.16 > 192.168.0.1,1
ICMP 192.168.0.13 > 192.168.0.1 type=8 code=0 id=0x4d01,1
UDP 192.168.0.13:60226 > 210.89.164.90:8899,1
TCP 192.168.0.16:56344 > 110.76.141.37:443,1
UDP 192.168.0.16:57186 > 163.152.1.1:53,1
TCP 192.168.0.19:5397 > 213.227.167.133:5938,1
UDP 192.168.0.13:60221 > 210.89.164.90:8899,1
TCP 192.168.0.19:3833 > 124.251.58.129:443,1
UDP 192.168.0.13:60224 > 210.89.164.90:8899,1
TCP 192.168.0.19:5393 > 217.146.11.105:80,1
TCP 192.168.0.19:3645 > 172.217.161.67:443,1
TCP 192.168.0.13:51518 > 52.74.168.35:8820,1
TCP 192.168.180.137:43238 > 197.231.134.215:443,1
UDP 192.168.0.13:60208 > 210.89.164.90:8899,1
TCP 192.168.0.19:5377 > 217.146.12.139:80,1
UDP 192.168.0.13:60219 > 210.89.164.90:8899,1
TCP 110.76.141.37:443 > 192.168.0.16:56344,1
TCP 192.168.0.16:56333 > 121.53.203.203:443,1
TCP 192.168.0.16:52033 > 17.242.28.77:5223,1
ARP 192.168.0.19 > 192.168.0.1,1
UDP 192.168.0.13:60231 > 210.89.164.90:8899,1
TCP 121.53.203.203:443 > 192.168.0.16:56333,1
UDP 192.168.0.13:60223 > 210.89.164.90:8899,1
UDP 192.168.0.13:60213 > 210.89.164.90:8899,1
ARP 192.168.0.13 > 192.168.0.1,1
UDP 192.168.0.13:60194 > 210.89.164.90:8899,1
IP 88.55.138.25 > 104.118.134.215 proto=184,1
TCP 192.168.0.19:4095 > 173.194.49.203:443,1
TCP 192.168.0.19:5431 > 169.56.125.228:80,1
UDP 192.168.0.13:60205 > 210.89.164.90:8899,1
UDP 192.168.0.13:60211 > 210.89.164.90:8899,1
UDP 192.168.0.13:60216 > 210.89.164.90:8899,1
UDP 192.168.0.13:60220 > 210.89.164.90:8899,1
TCP 52.74.168.35:8820 > 192.168.0.13:51518,1
TCP 192.168.0.19:4252 > 172.217.31.170:443,1
ARP 192.168.0.1 > 192.168.0.24,1
TCP 192.168.0.19:5373 > 217.146.11.100:80,1
TCP 192.168.0.16:56345 > 110.76.141.37:443,1
TCP 192.168.0.19:4926 > 216.58.197.234:443,1
TCP 110.76.141.37:443 > 192.168.0.16:56345,1
UDP 192.168.0.13:60197 > 210.89.164.90:8899,1
UDP 163.152.1.1:53 > 192.168.0.16:57186,1
ARP 192.168.0.1 > 192.168.0.13,1
UDP 192.168.0.13:60217 > 210.89.164.90:8899,1
UDP 192.168.0.13:60196 > 210.89.164.90:8899,1
UDP 192.168.0.13:56361 > 13.228.233.32:6000,1
UDP fe80::1c60:edf4:f8a0:e9b7:5353 > ff02::fb:5353,1
TCP 121.53.200.254:5242 > 192.168.0.16:52037,1
TCP 192.168.0.19:5432 > 52.114.132.21:443,1
TCP 192.168.0.19:3398 > 104.76.85.130:443,1
Ethernet type=50a4,1
IP 32.245.12.83 > 192.238.25.9 proto=tcp,1
UDP 192.168.0.13:60206 > 210.89.164.90:8899,1
IP 192.168.0.13 > 239.255.255.250 proto=igmp,1
IP 192.168.0.1 > 224.0.0.1 proto=igmp,1
UDP 192.168.0.13:60222 > 210.89.164.90:8899,1
UDP 192.168.0.13:60215 > 210.89.164.90:8899,1
UDP 192.168.0.13:60218 > 210.89.164.90:8899,1
UDP 192.168.0.13:60227 > 210.89.164.90:8899,1
UDP 192.168.0.13:60199 > 210.89.164.90:8899,1
UDP 192.168.0.13:60229 > 210.89.164.90:8899,1
ICMP 192.168.0.1 > 192.168.0.13 type=0 code=0 id=0x4d01,1
TCP 104.118.134.215:443 > 192.168.0.24:10348,1
TCP 192.168.0.19:5388 > 188.172.203.41:80,1
TCP 192.168.0.16:52037 > 121.53.200.254:5242,1
TCP 113.29.190.20:443 > 192.168.0.33:64775,1
UDP 13.228.233.32:6000 > 192.168.0.13:56361,1
TCP 104.118.134.215:443 > 192.168.0.24:43238,1
UDP 192.168.0.16:5353 > 224.0.0.251:5353,1
TCP 192.168.0.16:56346 > 110.76.141.37:443,1
