session_infomation,is_botnet
IP 192.168.0.13 > 224.0.0.251 proto=igmp,1
TCP 192.168.0.19:5142 > 37.252.229.171:5938,1
UDP 192.168.0.13:51990 > 210.89.164.90:8899,1
TCP 192.168.0.19:3763 > 139.99.8.58:80,1
TCP 104.74.152.109:443 > 192.168.0.14:51457,1
ARP 192.168.0.16 > 192.168.0.1,1
ICMP 192.168.0.13 > 192.168.0.1 type=8 code=0 id=0x4d01,1
UDP 192.168.0.13:51997 > 210.89.164.90:8899,1
TCP 172.217.26.14:443 > 192.168.0.33:64748,1
UDP 192.168.0.19:56854 > 163.152.1.1:53,1
UDP 192.168.0.33:5353 > 192.168.0.16:5353,1
TCP 192.168.0.19:3501 > 13.67.116.41:443,1
UDP 192.168.0.1:39547 > 239.255.255.250:1900,1
ARP 192.168.0.1 > 192.168.0.64,1
IPv6 fe80::1c60:edf4:f8a0:e9b7 > ff02::16 nh=Hop-by-Hop Option Header,1
TCP 104.74.152.109:443 > 192.168.0.14:51448,1
UDP 163.152.1.1:53 > 192.168.0.13:42005,1
TCP 192.168.0.19:3799 > 47.88.65.0:443,1
TCP 234.179.89.4:21223 > 142.62.227.164:443,1
TCP 192.168.0.19:4993 > 172.217.161.74:443,1
TCP 192.168.0.19:5028 > 37.252.229.169:80,1
TCP 192.168.0.19:5123 > 130.198.91.101:5938,1
TCP 192.168.0.19:5025 > 168.1.114.4:80,1
TCP 192.168.0.19:3645 > 172.217.161.67:443,1
TCP 192.168.0.19:5107 > 217.146.12.137:80,1
TCP 192.168.0.13:51518 > 52.74.168.35:8820,1
UDP 192.168.0.13:51995 > 210.89.164.90:8899,1
Ethernet type=cd9c,1
TCP 23.212.12.108:443 > 192.168.0.14:51459,1
TCP 192.168.0.19:5093 > 37.252.244.141:80,1
UDP 192.168.0.13:64775 > 210.89.164.90:9988,1
UDP 192.168.0.19:51627 > 163.152.1.1:53,1
TCP 223.39.123.191:443 > 192.168.0.24:58794,1
TCP 192.168.0.19:5164 > 220.181.136.210:443,1
UDP 192.168.0.19:65238 > 163.152.1.1:53,1
UDP 192.168.0.13:64783 > 210.89.164.90:9988,1
TCP 8.8.8.8:53 > 192.168.0.24:58740,1
TCP 192.168.0.19:5136 > 217.146.11.103:80,1
ARP 192.168.0.1 > 192.168.0.14,1
TCP 192.168.0.19:5097 > 169.56.125.226:5938,1
ARP 192.168.0.13 > 192.168.0.1,1
TCP 192.168.0.19:4095 > 173.194.49.203:443,1
IP 192.168.0.16 > 224.0.0.2 proto=igmp,1
TCP 192.168.0.19:5021 > 37.252.244.142:443,1
TCP 192.168.0.19:4130 > 216.58.197.234:443,1
TCP 104.118.134.215:443 > 192.168.0.24:18577,1
TCP 192.168.0.24:43278 > 223.39.123.191:443,1
TCP 52.74.168.35:8820 > 192.168.0.13:51518,1
ARP 192.168.0.1 > 192.168.0.24,1
TCP 223.39.123.191:443 > 192.168.0.24:42738,1
UDP 192.168.0.13:64776 > 210.89.164.90:9988,1
UDP 192.168.0.13:64777 > 210.89.164.90:9988,1
UDP 192.168.0.19:65237 > 163.152.1.1:53,1
TCP 192.168.0.24:51298 > 223.39.123.194:8281,1
IP 236.26.184.94 > 192.238.89.226 proto=99,1
TCP 192.168.0.19:4551 > 60.205.109.138:80,1
IP 104.118.134.215 > 192.168.0.24 proto=tcp,1
TCP 17.242.130.13:443 > 192.168.0.14:51458,1
UDP 192.168.0.13:64780 > 210.89.164.90:9988,1
TCP 192.168.0.19:4926 > 216.58.197.234:443,1
UDP 192.168.0.13:51994 > 210.89.164.90:8899,1
TCP 192.168.0.19:4305 > 40.90.23.217:443,1
UDP 192.168.0.13:51999 > 210.89.164.90:8899,1
TCP 223.39.123.194:8281 > 192.168.0.24:51298,1
ARP 192.168.0.1 > 192.168.0.13,1
TCP 192.168.0.19:3796 > 203.205.151.52:443,1
UDP 192.168.0.13:51992 > 210.89.164.90:8899,1
UDP 192.168.0.24:38243 > 163.152.1.1:53,1
UDP 192.168.0.13:56361 > 13.228.233.32:6000,1
UDP fe80::1c60:edf4:f8a0:e9b7:5353 > ff02::fb:5353,1
TCP 192.168.0.19:3398 > 104.76.85.130:443,1
TCP 192.168.0.19:5067 > 20.189.74.153:443,1
TCP 192.168.0.19:5117 > 37.252.244.144:80,1
IP 238.166.115.60 > 142.81.210.59 proto=189,1
TCP 192.168.0.19:5055 > 217.146.12.137:80,1
IP 192.168.0.13 > 239.255.255.250 proto=igmp,1
TCP 192.168.0.19:5102 > 37.252.229.171:443,1
IP 192.168.0.1 > 224.0.0.1 proto=igmp,1
UDP 192.168.0.13:51998 > 210.89.164.90:8899,1
TCP 192.168.0.19:3748 > 118.212.233.216:80,1
UDP 192.168.0.19:65237 > 163.152.11.6:53,1
UDP 192.168.0.13:5353 > 224.0.0.251:5353,1
TCP 192.168.0.13:51713 > 52.219.32.96:443,1
TCP 52.219.32.96:443 > 192.168.0.13:51713,1
UDP 192.168.0.13:51991 > 210.89.164.90:8899,1
ICMP 192.168.0.1 > 192.168.0.13 type=0 code=0 id=0x4d01,1
TCP 211.188.147.64:443 > 192.168.0.24:40541,1
TCP 192.168.0.19:3755 > 139.99.8.58:80,1
TCP 192.168.0.24:40541 > 211.188.147.64:443,1
TCP 192.168.0.19:4995 > 52.114.32.7:443,1
UDP 13.228.233.32:6000 > 192.168.0.13:56361,1
TCP 104.118.134.215:443 > 192.168.0.24:43238,1
UDP 192.168.0.16:5353 > 224.0.0.251:5353,1
TCP 192.168.0.19:5138 > 119.81.220.169:80,1
TCP 23.49.157.76:443 > 192.168.0.14:51453,1
TCP 192.168.0.24:54630 > 223.39.118.176:443,1
TCP 104.74.152.109:443 > 192.168.0.14:51451,1
